Temperature (¡C),Humidity (%),T10 (¡C),Moisture (%),Surface Temp (¡C),Recommended Crop,Recommended Fertilizer,Best & Cheap Fertilizer Brand,Mixture Composition for Field,Expected Price Value Increase,Mixture Composition per Acre,
28.5,65%,27.69,0.88,23.74,Sorghum,Potassium Sulfate,Tata Chemicals Sulfate,01:01.5,"?5,000/acre","30 kg Potassium Sulfate, 45 kg Soil",
14,72%,13.38,0.32,24.04,Soybean,NPK 20-20-20,IFFCO NPK 20-20-20,1:02,"?6,500/acre","50 kg NPK 20-20-20, 100 kg Soil",
23.8,68%,23.53,0.39,37.4,Soybean,Superphosphate,Coromandel Superphosphate,1:01,"?4,800/acre","20 kg Superphosphate, 20 kg Soil",
22.3,58%,22.04,0.46,20.14,Barley,Urea,National Fertilizers Urea,01:01.6,"?4,200/acre","40 kg Urea, 64 kg Soil",
13.1,73%,12.64,0.63,15.08,Soybean,Urea,Kribhco Urea,01:01.4,"?4,500/acre","35 kg Urea, 49 kg Soil",
26,66%,25.64,0.12,27.86,Sorghum,Bone Meal,Tata Chemicals Bone Meal,01:01.2,"?5,200/acre","25 kg Bone Meal, 30 kg Soil",
15.8,70%,15.22,0.59,39.96,Cotton,Superphosphate,Coromandel Superphosphate,1:01,"?6,000/acre","25 kg Superphosphate, 25 kg Soil",
11,67%,10.34,0.54,21.35,Cotton,Potassium Sulfate,Tata Chemicals Sulfate,01:01.5,"?5,800/acre","30 kg Potassium Sulfate, 45 kg Soil",
26.1,65%,25.76,0.28,37.31,Cotton,Potassium Sulfate,Tata Chemicals Sulfate,01:01.5,"?5,800/acre","30 kg Potassium Sulfate, 45 kg Soil",
12,75%,11.61,0.81,28.77,Tomato,NPK 20-20-20,IFFCO NPK 20-20-20,1:02,"?7,000/acre","50 kg NPK 20-20-20, 100 kg Soil",
21.5,68%,20.89,0.45,22.6,Rice,Urea,National Fertilizers Urea,01:01.5,"?4,500/acre","40 kg Urea, 60 kg Soil",
16,62%,15.74,0.58,18.4,Wheat,Compost,Organic India Compost,1:02,"?3,800/acre","500 kg Compost, 1,000 kg Soil",
19,71%,18.32,0.67,25.15,Rice,Ammonium Sulfate,Coromandel Ammonium Sulfate,01:01.5,"?4,300/acre","35 kg Ammonium Sulfate, 52.5 kg Soil",
23,59%,22.56,0.34,21.1,Wheat,NPK 15-15-15,IFFCO NPK 15-15-15,1:02,"?5,100/acre","50 kg NPK 15-15-15, 100 kg Soil",
17.8,74%,17.4,0.55,23.6,Carrot,Organic Fertilizer,Organic India Fertilizer,1:02,"?7,500/acre","1,000 kg Organic Fertilizer, 2,000 kg Soil",
22.2,63%,21.64,0.47,30.2,Cabbage,Fish Emulsion,Neptunes Harvest Fish Emulsion,1:10,"?6,000/acre","10 L Fish Emulsion, 100 kg Soil",
25,67%,24.22,0.43,28.1,Broccoli,Compost,Organic India Compost,1:02,"?5,500/acre","500 kg Compost, 1,000 kg Soil",
17.1,65%,16.85,0.62,22.5,Spinach,Bone Meal,Tata Chemicals Bone Meal,01:01.5,"?3,900/acre","20 kg Bone Meal, 30 kg Soil",
15,64%,14.34,0.5,17.45,Lettuce,NPK 15-15-15,IFFCO NPK 15-15-15,01:01.5,"?4,200/acre","30 kg NPK 15-15-15, 45 kg Soil",
19.2,72%,18.9,0.53,21.2,Rose,NPK 10-10-10,IFFCO NPK 10-10-10,01:01.5,"?5,000/acre","25 kg NPK 10-10-10, 37.5 kg Soil",
21.1,60%,20.5,0.48,24.3,Marigold,Bone Meal,Tata Chemicals Bone Meal,01:01.5,"?3,500/acre","15 kg Bone Meal, 22.5 kg Soil",
23.5,65%,22.6,0.65,26.8,Tulip,Phosphorus Fertilizer,Coromandel Phosphorus,01:01.5,"?4,800/acre","20 kg Phosphorus Fertilizer, 30 kg Soil",
17,58%,16.7,0.4,19.5,Lily,Potassium Fertilizer,Tata Chemicals Potassium,01:01.5,"?5,200/acre","30 kg Potassium Fertilizer, 45 kg Soil",
25.3,67%,24.45,0.38,28.9,Sunflower,Organic Fertilizer,Organic India Fertilizer,01:01.3,"?6,500/acre","800 kg Organic Fertilizer, 1,000 kg Soil",
21.8,62%,21.12,0.51,24.5,Lentils,NPK 12-32-16,IFFCO NPK 12-32-16,01:01.5,"?4,500/acre","40 kg NPK 12-32-16, 60 kg Soil",
20.3,71%,19.65,0.6,22.7,Chickpeas,Rock Phosphate,Coromandel Rock Phosphate,01:01.5,"?4,200/acre","25 kg Rock Phosphate, 37.5 kg Soil",
23.2,63%,22.8,0.42,26.1,Mung Beans,Ammonium Nitrate,Tata Chemicals Ammonium Nitrate,01:01.5,"?5,000/acre","30 kg Ammonium Nitrate, 45 kg Soil",
24,69%,23.5,0.37,25.3,Pigeon Peas,NPK 16-20-0,IFFCO NPK 16-20-0,01:01.5,"?5,300/acre","35 kg NPK 16-20-0, 52.5 kg Soil",
18.5,70%,18,0.3,20.5,Peas,NPK 14-28-14,IFFCO NPK 14-28-14,1:02,"?4,600/acre","40 kg NPK 14-28-14, 80 kg Soil",
20,72%,19.5,0.35,18.7,Garlic,Compost,Organic India Compost,1:02,"?3,700/acre","500 kg Compost, 1,000 kg Soil",
